WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
B	0.0	5.2	4.8	11.6	3.9	3.1	2.0	1.3	1.1	1.0	1.4	1.4	2.6	4.6	4.9	4.9	8.4	62.2	부산
C	0.0	1.1	1.0	4.0	0.9	0.9	0.3	0.1	0.1	0.7	1.5	1.7	4.9	6.7	3.9	1.9	4.0	33.7	부산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.6	0.2	0.0	0.0	1.9	부산
A	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	대구
B	0.0	2.1	2.0	2.7	2.6	2.7	8.7	7.1	2.1	0.9	0.5	0.6	1.9	7.3	10.5	8.8	4.5	65.0	대구
C	0.0	0.0	0.0	0.0	0.1	1.0	1.9	0.8	0.0	0.0	0.0	0.0	0.2	3.2	13.4	4.0	0.5	25.1	대구
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.0	0.0	0.6	대구
A	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	울산
B	0.0	9.6	4.6	1.3	2.2	1.5	1.8	2.2	1.1	0.9	2.2	1.8	1.2	2.1	4.6	15.6	24.1	76.8	울산
C	0.0	1.1	0.5	0.3	0.6	0.3	0.1	0.4	0.2	0.2	1.1	0.4	0.4	0.6	3.1	4.5	3.9	17.8	울산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	울산
A	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	경주시
B	0.0	2.8	2.4	1.6	1.1	0.8	1.7	2.4	4.8	11.8	8.1	3.7	3.0	2.9	5.4	6.4	3.2	62.0	경주시
C	0.0	1.7	2.3	1.4	0.2	0.0	0.2	0.4	0.1	0.6	0.3	0.3	1.1	2.6	7.5	9.8	3.0	31.6	경주시
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.2	0.2	0.0	0.9	경주시
A	10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	창원
B	0.0	9.3	9.9	9.6	2.7	1.8	1.6	1.4	2.8	3.5	3.9	4.0	5.7	7.7	4.8	4.0	6.5	79.1	창원
C	0.0	0.1	1.5	4.7	0.2	0.0	0.2	0.6	0.8	0.8	0.1	0.1	0.1	0.4	0.5	0.2	0.1	10.5	창원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	창원
A	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	제주
B	0.0	5.1	3.1	1.5	2.4	2.9	3.3	3.3	6.1	6.8	3.1	2.3	2.0	2.3	3.5	5.8	3.8	57.3	제주
C	0.0	5.2	2.5	2.5	1.4	0.6	0.4	0.0	0.0	0.0	0.5	0.6	1.3	3.0	5.8	11.9	3.9	39.7	제주
D	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.2	0.3	1.3	0.0	2.4	제주
