WS	ZERO	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	SUM	Station
B	0.0	10.3	16.1	6.5	3.3	2.1	1.5	2.4	3.6	3.1	1.3	2.1	6.0	9.5	4.3	3.6	4.5	80.1	대전
C	0.0	1.0	4.0	0.4	0.0	0.0	0.0	0.3	3.3	0.7	0.0	0.0	0.6	0.0	0.0	0.1	0.3	10.9	대전
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	대전
A	16.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	세종
B	0.0	3.9	2.4	2.4	6.4	5.4	1.3	1.0	4.8	4.2	3.3	3.7	1.9	4.3	9.1	13.5	7.0	74.6	세종
C	0.0	0.1	0.0	0.0	1.2	0.1	0.1	0.0	0.0	0.9	0.6	0.0	0.0	0.0	0.7	2.7	2.4	8.9	세종
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	세종
A	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	청주
B	0.0	1.3	3.4	2.5	0.6	1.5	0.9	1.6	4.0	5.8	3.0	4.8	9.4	17.3	18.5	1.2	1.3	77.1	청주
C	0.0	0.0	0.1	0.1	0.1	1.3	0.3	0.0	0.0	0.0	0.0	0.0	0.1	2.5	3.9	0.0	0.0	8.6	청주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	청주
A	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8	서산
B	0.0	5.1	6.7	7.6	4.3	1.2	0.9	0.4	0.1	5.5	7.0	3.7	2.4	1.9	1.8	3.0	5.1	56.7	서산
C	0.0	0.3	0.0	0.4	2.1	0.9	0.0	0.0	0.0	1.9	7.3	1.0	0.0	0.0	2.4	9.2	5.4	31.0	서산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.0	0.6	서산
A	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	광주
B	0.0	6.1	15.9	12.2	3.4	1.9	0.3	0.1	1.3	1.6	4.8	8.3	7.9	3.0	4.6	3.9	2.7	78.1	광주
C	0.0	0.0	0.9	3.4	0.1	0.0	0.0	0.0	0.0	0.0	0.4	1.2	0.7	0.0	0.0	0.0	0.0	6.8	광주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	광주
A	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	전주
B	0.0	3.0	2.1	1.6	2.2	2.2	7.7	15.0	2.4	1.8	0.9	4.5	5.7	7.3	5.8	10.3	5.5	78.0	전주
C	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.1	2.8	1.0	2.1	3.7	1.6	0.6	12.5	전주
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	전주
A	19.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2	순천
B	0.0	0.4	0.4	1.2	1.0	4.0	1.6	3.0	3.1	2.7	1.3	0.6	4.8	6.8	7.1	2.2	1.5	42.0	순천
C	0.0	0.0	0.0	0.0	0.0	0.6	1.2	0.1	0.0	0.0	0.0	0.0	2.5	7.6	20.8	5.8	0.1	38.8	순천
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	순천
A	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	부산
B	0.0	1.0	2.5	7.1	2.7	1.8	2.1	1.6	0.7	2.4	1.0	1.6	4.0	5.5	4.3	4.8	2.4	45.7	부산
C	0.0	0.0	0.0	7.6	2.2	0.1	0.0	0.3	0.1	0.4	3.3	4.2	11.9	11.0	4.0	4.5	0.3	50.0	부산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	1.3	0.9	0.1	0.0	0.0	2.7	부산
A	9.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8	대구
B	0.0	1.8	1.6	1.6	0.9	1.9	7.1	5.1	1.6	1.5	0.1	1.0	2.5	7.7	7.4	7.7	5.7	55.5	대구
C	0.0	0.0	0.0	0.0	0.0	1.9	3.0	0.0	0.0	0.0	0.0	0.0	0.1	3.4	14.6	8.8	1.6	33.5	대구
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.1	0.0	1.2	대구
A	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	울산
B	0.0	6.7	5.4	3.3	1.2	2.4	2.1	2.1	3.0	0.7	4.6	3.6	2.1	2.4	5.1	12.1	13.8	70.4	울산
C	0.0	0.9	1.3	0.7	0.7	0.0	0.0	0.0	0.1	0.3	4.5	1.3	0.4	1.3	5.7	5.5	2.5	25.4	울산
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	울산
A	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	경주시
B	0.0	0.7	0.9	1.8	1.2	1.0	2.2	2.2	5.4	10.7	7.9	3.3	3.6	2.5	1.8	4.5	3.1	52.8	경주시
C	0.0	0.4	0.1	3.1	1.8	0.0	0.0	0.1	0.0	1.9	1.2	2.7	1.6	1.6	10.4	13.1	3.6	41.8	경주시
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.7	0.0	3.9	경주시
A	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9	창원
B	0.0	4.9	8.3	8.8	3.3	2.4	2.2	2.2	2.5	5.7	5.5	4.0	6.1	7.9	3.6	5.4	3.9	76.6	창원
C	0.0	0.0	0.9	5.7	1.3	0.0	0.3	0.3	0.3	0.4	0.1	0.0	0.0	0.1	0.9	0.0	0.0	10.4	창원
D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	창원
A	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	제주
B	0.0	2.2	1.0	2.2	1.8	1.8	1.8	1.6	7.0	6.5	3.6	1.8	2.4	2.2	2.8	4.5	2.4	45.7	제주
C	0.0	3.0	0.6	2.2	8.3	1.5	1.0	0.0	0.0	0.1	0.9	5.2	6.2	3.3	4.0	9.8	1.8	48.1	제주
D	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.1	0.0	0.3	3.7	0.0	5.4	제주
